Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Japan,2009,164th,31.2,2.0,2.0,3.8,3.1,2.5,2.0,2.0,1.2,3.4,4.2,1.1,3.9
Jordan,2009,86th,77.9,6.0,6.5,6.8,6.5,7.4,5.0,6.0,5.4,6.9,6.7,7.9,6.8
Kazakhstan,2009,105th,72.5,6.5,7.6,5.5,6.4,6.4,4.0,7.7,5.3,6.8,6.0,3.9,6.4
Kenya,2009,14th,101.4,8.0,8.8,8.6,7.5,8.8,8.3,9.0,8.0,8.2,9.0,9.0,8.2
Kuwait,2009,125th,63.4,5.1,7.2,5.1,3.5,6.1,4.3,6.5,3.5,6.9,5.7,4.2,5.3
Kyrgyzstan,2009,42nd,89.1,7.7,7.3,7.2,7.6,8.3,7.5,8.3,6.5,7.6,8.0,5.3,7.8
Laos,2009,43rd,89.0,7.6,8.3,7.0,7.5,6.0,6.6,8.2,8.0,8.5,8.2,5.9,7.2
Latvia,2009,136th,54.6,2.9,4.3,4.5,5.5,6.2,5.0,5.1,4.4,3.7,4.5,4.5,4.0
Lebanon,2009,29th,93.5,9.1,9.1,9.2,6.3,7.4,7.2,7.8,6.2,6.9,7.0,9.0,8.3
Lesotho,2009,67th,81.8,5.5,6.9,5.2,8.4,5.6,6.5,7.4,8.7,6.5,9.4,4.7,7.0
Liberia,2009,33rd,91.8,6.9,7.9,6.1,8.2,8.5,6.8,7.0,8.5,6.7,8.6,8.0,8.6
Libya,2009,112th,69.4,5.4,7.1,5.8,5.5,7.1,4.0,7.1,4.2,8.1,5.9,4.2,5.0
Lithuania,2009,145th,48.0,2.1,3.0,4.2,4.7,6.2,5.2,4.1,3.4,3.5,4.5,2.8,4.3
Luxembourg,2009,167th,27.6,2.0,3.6,3.2,2.2,2.5,1.2,2.9,2.4,1.5,2.1,1.5,2.5
Macedonia,2009,99th,74.4,5.8,6.7,7.5,6.3,7.3,6.9,7.4,4.8,5.3,5.0,4.6,6.8
Madagascar,2009,68th,81.6,5.9,7.1,5.6,7.4,7.6,5.0,6.6,8.8,5.9,8.9,5.0,7.8
Malawi,2009,28th,93.8,5.6,7.8,5.9,9.1,8.5,8.3,8.3,8.8,7.5,9.3,6.3,8.4
Malaysia,2009,114th,68.9,6.1,6.1,6.2,4.7,6.9,3.8,6.1,5.2,6.5,6.5,5.2,5.6
Maldives,2009,81st,78.8,6.3,7.4,5.2,6.7,5.2,7.0,7.2,7.3,7.5,6.5,6.5,6.0
Mali,2009,83rd,78.7,6.5,4.0,6.5,8.3,6.9,7.4,5.3,8.4,5.2,8.7,4.6,6.9
Malta,2009,143rd,48.8,4.0,1.7,4.0,3.9,4.6,4.3,4.3,3.5,3.6,3.9,6.0,5.0
Mauritania,2009,46th,88.7,7.9,8.0,8.2,7.8,7.0,5.0,7.0,8.5,7.1,8.7,6.2,7.3
Mauritius,2009,148th,44.7,3.6,3.3,3.5,4.3,5.9,2.4,5.3,4.4,3.9,3.9,1.0,3.2
Mexico,2009,98th,75.4,7.0,5.0,5.9,6.1,8.2,7.0,6.8,6.0,5.5,7.0,4.3,6.6
Micronesia,2009,107th,71.9,5.3,5.5,4.5,6.6,7.0,8.3,6.6,6.8,3.0,7.2,3.1,8.0
